날짜	경기번호	순위	마번	마명	산지	성별	연령	중량	레이팅	기수명	조교사명	마주명	도착차	마체중	단승	연승	장구현황	말id	기수id	조교사id	마주id	S-1F	1코너	2코너	3코너	4코너	G-3F	G-1F	경주기록
19961222	1	1	12	용타	호	암	3세	54		이정표	신우철	권미세		456(-12)	3.8	1.5		008073	080069	070033	010350				0:26.3	0:45.8	0:39.1		1:18.2
19961222	1	2	01	옥스브릿지	뉴	거	4세	56		이성일	최충언	류흥목	¾	431(9)	1.6	1.2		008158	080016	070060	010051				0:25.8	0:45.5	0:39.6		1:18.3
19961222	1	3	14	대태화	호	거	4세	53		신대전	박원덕	박영석	½	480(-1)	190.6	22.0		007173	080324	070056	010263				0:25.2	0:44.0	0:40.9		1:18.4
19961222	1	4	05	명지	호	암	4세	55		김효섭	이인호	정진태	½	484(-3)	9.9	1.9		007858	080097	070082	010381				0:26.5	0:46.1	0:39.2		1:18.5
19961222	1	5	06	거북선	호	거	4세	53		지하주	김충근	박영욱	½	499(13)	20.6	3.8		008070	080301	070029	010161				0:26.4	0:46.0	0:39.4		1:18.6
19961222	1	6	07	황금박스	뉴	거	4세	56		김윤섭	김광호	이상홍	머리	447(-3)	24.2	3.4		007881	080116	070021	010034				0:27.0	0:46.3	0:39.0		1:18.6
19961222	1	7	09	효도	호	암	4세	55		천창기	양재철	이석태	1½	446(2)	52.9	5.1		007915	080092	070048	010281				0:26.1	0:45.6	0:40.0		1:18.9
19961222	1	8	08	수성산	호	암	4세	55		김혜성	강종문	♠정동진	3	433(1)	48.3	6.2		007874	080109	070032	010298				0:26.9	0:46.4	0:39.8		1:19.5
19961222	1	9	02	청운	뉴	암	4세	55		김용선	김재복	김한영	1	440(-2)	79.9	8.2		007936	080039	070015	010046				0:26.8	0:46.3	0:40.2		1:19.7
19961222	1	10	04	천훈	뉴	암	4세	55		배휴준	강윤식	배순훈	1½	400(-3)	9.6	2.0		007408	080022	070022	010287				0:27.5	0:46.9	0:40.0		1:20.0
19961222	1	11	03	태백성	뉴	암	5세	53		박동랑	김대근	권길상	½	407(-5)	362.3	56.5		007250	080322	070050	010146				0:27.2	0:46.8	0:40.2		1:20.1
19961222	1	12	10	갤런트	뉴	암	5세	56		김태경	황의성	조병용	머리	447(3)	394.9	27.1		007256	080296	070054	010358				0:26.5	0:46.0	0:40.8		1:20.1
19961222	1	13	13	무릉도원	뉴	수	4세	56		장세한	박진호	신영화	1	488(-5)	739.7	47.5		007187	080113	070017	010037				0:27.2	0:46.8	0:40.4		1:20.3
19961222	1	14	11	오스톡	호	거	5세	54		박수홍	김일성	이영숙	6	461(-14)	496.7	26.0		006916	080328	070020	010087				0:27.4	0:47.0	0:41.3		1:21.5
19961222	2	1	04	오선지	호	거	3세	55		이성일	권세창	김순주		425(-1)	9.1	2.3		008062	080016	070089	010387				0:25.7	0:44.1	0:39.8		1:17.3
19961222	2	2	13	서운	호	거	3세	55		김재섭	김대근	김정규	2½	441(2)	7.5	2.0		008282	080096	070050	010474				0:24.7	0:43.4	0:41.0		1:17.8
19961222	2	3	08	백의장군	뉴	거	4세	56		김용선	신우철	박상선	1½	462(-16)	13.2	2.9		008182	080039	070033	010154				0:26.1	0:45.1	0:39.5		1:18.1
