말id	전체 경기	통계1	통계2	통계3	통계4	통계5	승률	복승률	연승률
005538	9	2	0	1	0	1	22.2 	22.2 	33.3 
005492	18	1	3	1	3	4	5.6 	22.2 	27.8 
005718	20	2	1	1	1	1	10.0 	15.0 	20.0 
005704	28	2	0	3	5	0	7.1 	7.1 	17.9 
005168	62	2	3	4	3	4	3.2 	8.1 	14.5 
005293	8	1	1	2	1	0	12.5 	25.0 	50.0 
005470	28	1	0	1	2	4	3.6 	3.6 	7.1 
005558	43	1	1	1	3	6	2.3 	4.7 	7.0 
005513	23	2	2	3	0	3	8.7 	17.4 	30.4 
005510	9	1	1	0	1	0	11.1 	22.2 	22.2 
004806	21	0	0	0	2	3	0.0 	0.0 	0.0 
005677	37	0	3	1	7	5	0.0 	8.1 	10.8 
004983	4	0	0	0	0	0	0.0 	0.0 	0.0 
004363	11	2	2	2	2	0	18.2 	36.4 	54.5 
004958	18	2	1	5	3	2	11.1 	16.7 	44.4 
005738	15	3	1	1	1	1	20.0 	26.7 	33.3 
005605	65	2	4	5	4	7	3.1 	9.2 	16.9 
005177	37	3	8	2	9	2	8.1 	29.7 	35.1 
004811	43	1	4	7	6	5	2.3 	11.6 	27.9 
005683	5	1	1	1	0	0	20.0 	40.0 	60.0 
004788	59	2	3	4	7	4	3.4 	8.5 	15.3 
005412	15	0	1	3	0	1	0.0 	6.7 	26.7 
003845	100	3	5	11	9	8	3.0 	8.0 	19.0 
005617	35	2	2	1	3	1	5.7 	11.4 	14.3 
005746	17	0	4	5	3	1	0.0 	23.5 	52.9 
003894	37	2	1	5	5	4	5.4 	8.1 	21.6 
004830	38	3	1	2	3	7	7.9 	10.5 	15.8 
005434	12	1	1	3	0	1	8.3 	16.7 	41.7 
005146	32	4	4	3	1	8	12.5 	25.0 	34.4 
004246	65	5	7	6	5	3	7.7 	18.5 	27.7 
005068	33	1	0	3	5	2	3.0 	3.0 	12.1 
005003	56	2	0	4	4	10	3.6 	3.6 	10.7 
005545	34	7	1	4	6	2	20.6 	23.5 	35.3 
004299	84	2	4	5	9	6	2.4 	7.1 	13.1 
004085	45	2	5	6	3	5	4.4 	15.6 	28.9 
005237	40	1	9	4	5	4	2.5 	25.0 	35.0 
005522	31	3	4	0	2	2	9.7 	22.6 	22.6 
005043	21	1	1	1	0	1	4.8 	9.5 	14.3 
004423	91	1	0	1	3	0	1.1 	1.1 	2.2 
003125	49	0	4	0	1	1	0.0 	8.2 	8.2 
005304	17	5	3	2	2	0	29.4 	47.1 	58.8 
005567	48	11	6	8	3	3	22.9 	35.4 	52.1 
005507	75	1	6	5	9	6	1.3 	9.3 	16.0 
005671	15	3	3	2	2	2	20.0 	40.0 	53.3 
005180	36	1	4	6	6	6	2.8 	13.9 	30.6 
004766	54	1	3	4	4	3	1.9 	7.4 	14.8 
005397	44	2	4	0	5	2	4.5 	13.6 	13.6 
005574	58	1	0	3	3	4	1.7 	1.7 	6.9 
005329	19	1	3	1	0	0	5.3 	21.1 	26.3 
005535	72	1	2	4	8	8	1.4 	4.2 	9.7 
005552	7	0	0	0	0	0	0.0 	0.0 	0.0 
005414	18	3	2	1	3	3	16.7 	27.8 	33.3 
005474	31	4	6	5	1	5	12.9 	32.3 	48.4 
005601	22	1	3	4	2	1	4.5 	18.2 	36.4 
005226	29	6	4	1	3	1	20.7 	34.5 	37.9 
004708	70	1	6	6	14	8	1.4 	10.0 	18.6 
005291	23	1	3	4	2	6	4.3 	17.4 	34.8 
004236	46	1	3	5	3	5	2.2 	8.7 	19.6 
004268	54	3	0	6	4	5	5.6 	5.6 	16.7 
005468	17	3	2	2	1	1	17.6 	29.4 	41.2 
003145	73	5	5	10	5	7	6.8 	13.7 	27.4 
005747	6	1	0	0	1	1	16.7 	16.7 	16.7 
005568	11	1	1	2	1	1	9.1 	18.2 	36.4 
005185	33	1	0	0	1	3	3.0 	3.0 	3.0 
005149	9	0	1	2	0	1	0.0 	11.1 	33.3 
003481	64	4	4	4	8	9	6.3 	12.5 	18.8 
003245	58	2	6	3	3	10	3.4 	13.8 	19.0 
002674	67	10	2	3	5	5	14.9 	17.9 	22.4 
004433	44	3	1	5	8	2	6.8 	9.1 	20.5 
002281	116	11	14	13	9	20	9.5 	21.6 	32.8 
003984	58	4	5	6	4	6	6.9 	15.5 	25.9 
003179	51	3	8	3	4	6	5.9 	21.6 	27.5 
003599	43	4	3	4	6	3	9.3 	16.3 	25.6 
003136	60	5	3	3	5	1	8.3 	13.3 	18.3 
003028	61	4	7	5	4	4	6.6 	18.0 	26.2 
003022	87	5	12	12	9	13	5.7 	19.5 	33.3 
003128	45	4	5	2	1	6	8.9 	20.0 	24.4 
005477	13	5	2	2	1	1	38.5 	53.8 	69.2 
004933	52	3	4	11	9	1	5.8 	13.5 	34.6 
005240	44	4	5	3	5	2	9.1 	20.5 	27.3 
005590	29	4	4	2	6	2	13.8 	27.6 	34.5 
005728	70	4	7	2	2	7	5.7 	15.7 	18.6 
004476	34	3	2	3	5	1	8.8 	14.7 	23.5 
005010	58	4	5	6	5	4	6.9 	15.5 	25.9 
005113	24	3	6	1	2	2	12.5 	37.5 	41.7 
005284	25	2	0	3	2	2	8.0 	8.0 	20.0 
005408	43	3	5	3	4	4	7.0 	18.6 	25.6 
005116	14	2	0	0	1	1	14.3 	14.3 	14.3 
004945	37	3	0	3	1	7	8.1 	8.1 	16.2 
003557	53	2	8	6	7	6	3.8 	18.9 	30.2 
005425	14	2	1	2	0	1	14.3 	21.4 	35.7 
005324	26	5	2	5	4	1	19.2 	26.9 	46.2 
004976	40	8	3	6	2	8	20.0 	27.5 	42.5 
005064	56	6	6	6	8	4	10.7 	21.4 	32.1 
004713	35	1	6	5	8	1	2.9 	20.0 	34.3 
005705	21	2	1	2	1	2	9.5 	14.3 	23.8 
005625	46	3	0	1	3	5	6.5 	6.5 	8.7 
005711	6	2	2	0	0	0	33.3 	66.7 	66.7 
005604	20	5	1	0	4	0	25.0 	30.0 	30.0 
005268	38	9	11	6	3	6	23.7 	52.6 	68.4 
005076	31	3	3	4	5	2	9.7 	19.4 	32.3 
005280	30	5	3	4	1	3	16.7 	26.7 	40.0 
004934	32	5	4	3	3	2	15.6 	28.1 	37.5 
005442	43	6	7	4	1	2	14.0 	30.2 	39.5 
005218	31	4	3	2	1	0	12.9 	22.6 	29.0 
003404	0	0	0	0	0	0	0.0	0.0	0.0
004897	27	4	2	4	1	3	14.8 	22.2 	37.0 
004267	48	4	4	6	5	2	8.3 	16.7 	29.2 
004707	30	3	4	4	3	3	10.0 	23.3 	36.7 
004883	22	4	1	4	4	0	18.2 	22.7 	40.9 
004162	29	2	8	5	3	2	6.9 	34.5 	51.7 
005015	14	3	0	0	1	1	21.4 	21.4 	21.4 
004590	15	7	4	0	1	0	46.7 	73.3 	73.3 
004687	15	5	1	1	1	0	33.3 	40.0 	46.7 
004072	63	4	4	8	3	6	6.3 	12.7 	25.4 
002901	54	8	3	12	7	5	14.8 	20.4 	42.6 
004083	53	6	3	7	5	8	11.3 	17.0 	30.2 
003094	53	2	6	5	6	10	3.8	15.1	24.5
003883	31	5	2	2	5	1	16.1 	22.6 	29.0 
003982	44	6	6	5	6	4	13.6 	27.3 	38.6 
003379	44	3	7	11	3	3	6.8 	22.7 	47.7 
003881	58	5	6	10	4	3	8.6 	19.0 	36.2 
003477	32	7	4	2	1	1	21.9 	34.4 	40.6 
004328	33	7	2	8	4	3	21.2 	27.3 	51.5 
002994	73	10	15	3	4	6	13.7 	34.2 	38.4 
004832	25	5	3	3	2	3	20.0 	32.0 	44.0 
003937	39	12	10	5	4	3	30.8 	56.4 	69.2 
004985	44	6	6	3	4	8	13.6 	27.3 	34.1 
004284	48	5	8	9	4	7	10.4 	27.1 	45.8 
004205	36	7	5	4	4	3	19.4 	33.3 	44.4 
003706	42	10	6	3	3	1	23.8 	38.1 	45.2 
004887	19	7	2	3	0	1	36.8 	47.4 	63.2 
004996	26	5	4	3	2	5	19.2 	34.6 	46.2 
004023	42	5	7	7	3	2	11.9 	28.6 	45.2 
004721	56	11	3	2	5	6	19.6 	25.0 	28.6 
004709	25	4	2	1	1	0	16.0 	24.0 	28.0 
004290	46	5	4	6	6	2	10.9 	19.6 	32.6 
004089	40	5	4	6	4	6	12.5 	22.5 	37.5 
004356	46	6	5	4	4	1	13.0 	23.9 	32.6 
005297	25	2	1	0	2	4	8.0 	12.0 	12.0 
005320	23	1	1	3	0	1	4.3 	8.7 	21.7 
005473	34	0	4	3	8	5	0.0 	11.8 	20.6 
005534	44	3	3	6	6	6	6.8 	13.6 	27.3 
004764	6	0	1	0	0	1	0.0 	16.7 	16.7 
005577	9	0	2	1	0	2	0.0 	22.2 	33.3 
005148	35	0	0	4	3	5	0.0 	0.0 	11.4 
